UNITID,DVADM01,DVADM02,DVADM03,DVADM04,DVADM05,DVADM06,DVADM07,DVADM08,DVADM09,DVADM10,DVADM11,DVADM12
153384,15,13,16,31,33,29,31,33,29,0,0,0
153603,89,89,88,29,31,27,29,30,27,0,0,0
153658,84,81,86,22,22,23,22,22,22,0,0,0
153825,100,100,100,19,19,18,19,19,18,0,0,0
153834,72,69,75,20,19,21,20,19,21,0,0,0
153861,96,89,98,75,58,82,42,38,43,34,21,38
153977,100,100,100,26,27,26,7,21,5,19,6,21
154004,71,72,71,16,16,16,16,16,16,0,0,0
154013,83,82,83,28,28,28,28,28,27,0,0,0
154095,93,92,93,31,30,32,31,30,32,0,0,0
154101,80,81,80,27,28,26,27,28,26,0,0,0
154235,77,73,82,17,18,16,17,18,16,0,0,0
154262,80,50,85,92,100,91,92,100,91,0,0,0
154350,86,84,88,22,25,18,22,25,18,0,0,0
154493,96,96,97,34,34,34,34,34,34,0,0,0
154518,77,76,79,20,22,17,20,22,17,0,0,0
154527,76,72,80,17,19,14,17,19,14,0,0,0
154590,52,48,62,42,41,44,42,41,43,0,0,0
154688,94,94,94,26,33,21,25,33,21,0,0,0
154712,98,98,98,23,23,22,23,23,22,0,0,0
154721,56,61,45,22,22,22,22,22,22,0,0,0
154749,94,92,96,16,15,17,16,15,17,0,0,0
154855,53,52,54,35,40,27,34,39,27,0,0,0
155025,98,96,98,23,26,21,23,26,21,0,0,0
155061,90,94,88,42,42,42,40,41,39,2,2,2
155070,51,60,44,67,73,59,67,73,59,0,0,0
155089,55,58,53,45,49,41,45,49,40,0,0,0
155140,90,86,94,72,68,75,70,66,73,2,2,2
155283,96,91,97,57,65,56,57,65,56,0,0,0
155317,93,92,94,25,25,25,25,25,25,0,0,0
155335,74,74,74,20,19,21,20,18,21,0,1,0
155399,82,80,83,27,28,27,27,28,26,1,0,1
155414,72,73,71,19,16,25,19,16,25,0,0,0
155496,100,100,100,67,61,74,67,61,74,0,0,0
155511,77,78,75,22,22,23,22,22,23,0,0,0
155520,79,80,77,26,26,28,26,26,28,0,0,0
155627,83,86,73,14,12,22,13,11,22,1,1,0
155681,89,88,91,32,34,31,31,33,30,0,1,0
155812,87,86,88,21,17,26,20,16,25,1,1,0
155900,76,78,72,19,22,15,19,22,14,0,0,0
155937,48,46,52,30,30,31,30,30,31,0,0,1
155973,65,63,68,38,40,33,38,40,33,0,0,0
156125,94,94,94,20,22,19,19,21,18,1,1,1
156189,75,73,77,11,11,10,11,11,10,0,0,0
156213,63,58,68,26,24,27,26,24,27,0,0,1
156286,86,87,86,13,14,13,13,14,13,0,0,0
156295,19,16,22,54,56,52,54,56,52,0,0,0
156356,35,24,46,19,26,16,19,26,16,0,0,0
156365,80,81,79,14,16,12,13,16,11,1,0,1
156408,54,50,59,19,20,19,19,20,19,0,0,0
156541,99,98,100,33,34,33,28,30,27,5,5,6
156620,78,77,78,20,23,18,19,23,17,1,1,1
156745,91,90,92,26,32,22,26,32,22,0,0,0
156967,81,,81,100,,100,100,,100,0,,0
157030,100,100,100,55,50,67,48,45,56,6,5,11
157058,96,97,96,27,30,25,25,29,23,2,1,2
157076,72,69,76,18,18,18,18,18,18,0,0,0
157085,93,91,94,22,22,22,22,22,22,0,0,0
157100,61,59,68,28,27,30,28,27,30,0,0,0
157289,79,80,79,25,27,24,24,25,23,1,1,1
157377,95,93,97,23,22,24,23,22,24,0,0,0
157386,77,73,83,18,20,19,18,19,19,0,0,0
157401,86,85,86,17,17,17,17,17,17,0,0,0
157447,68,69,68,37,45,33,35,42,31,2,2,2
157748,56,56,56,56,55,57,50,48,53,6,7,3
157757,99,99,100,16,20,13,15,19,12,1,1,1
157809,90,89,92,13,14,12,13,14,12,0,0,0
157818,87,83,88,16,19,15,16,19,15,0,0,0
157863,63,63,66,39,49,26,39,49,26,0,0,0
157951,94,93,95,30,32,29,30,32,29,0,0,0
158477,56,52,59,24,27,22,24,27,22,0,0,0
158802,42,47,86,6,7,6,6,7,6,0,0,0
159009,45,39,48,18,24,15,17,24,14,1,1,1
159382,92,90,93,67,69,66,61,63,60,5,6,5
159391,73,71,75,23,25,22,23,25,22,0,0,0
159416,51,47,53,31,35,30,29,34,27,2,1,3
159568,77,78,76,43,50,33,43,50,33,0,0,0
